GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kpi-service,cl.duoc.cordillera.kpiservice.client,DataServiceClient,0,36,0,2,0,8,0,4,0,3
kpi-service,cl.duoc.cordillera.kpiservice.client,DataServiceClient.new ParameterizedTypeReference() {...},0,8,0,0,0,1,0,1,0,1
kpi-service,cl.duoc.cordillera.kpiservice,KpiServiceApplication,5,3,0,0,2,1,1,1,1,1
kpi-service,cl.duoc.cordillera.kpiservice.controller,KpiController,0,45,0,0,0,10,0,7,0,7
kpi-service,cl.duoc.cordillera.kpiservice.service.calculator,LogisticaCalculator,0,20,0,2,0,5,0,4,0,3
kpi-service,cl.duoc.cordillera.kpiservice.service.calculator,VentasCalculator,0,20,0,2,0,5,0,4,0,3
kpi-service,cl.duoc.cordillera.kpiservice.service.calculator,KpiFactory,0,57,0,2,0,11,0,3,0,2
kpi-service,cl.duoc.cordillera.kpiservice.service.calculator,RentabilidadCalculator,0,20,0,2,0,5,0,4,0,3
kpi-service,cl.duoc.cordillera.kpiservice.service.calculator,InventarioCalculator,0,20,0,2,0,5,0,4,0,3
kpi-service,cl.duoc.cordillera.kpiservice.exception,GlobalExceptionHandler,31,16,1,1,10,3,4,2,3,2
kpi-service,cl.duoc.cordillera.kpiservice.service,KpiService,0,102,0,0,0,25,0,9,0,9
kpi-service,cl.duoc.cordillera.kpiservice.model,Kpi,0,45,0,0,0,13,0,13,0,13
kpi-service,cl.duoc.cordillera.kpiservice.config,DataLoader,148,0,2,0,40,0,3,0,2,0
kpi-service,cl.duoc.cordillera.kpiservice.config,OpenApiConfig,0,3,0,0,0,1,0,1,0,1
kpi-service,cl.duoc.cordillera.kpiservice.config,KpiDataLoader,71,0,2,0,16,0,4,0,3,0
kpi-service,cl.duoc.cordillera.kpiservice.config,RestTemplateConfig,0,7,0,0,0,2,0,2,0,2
